Actual_Price,Linear Regression_Predicted,Random Forest_Predicted,XGBoost_Predicted
4100,4000.75,5301.25,3806.9197
1930,1763.3125,1950.45,2884.5447
4340,3674.0,4523.9,4661.142
3820,3335.25,3707.8,3140.9883
5550,4426.875,5639.15,5596.1
3910,4558.25,3478.85,3242.4648
2920,3510.5625,3224.5,3620.8992
1770,1667.0,1763.6,1729.0103
1770,1385.5,1726.55,1774.7686
2500,1822.0,2260.85,2194.4895
3230,3290.25,3411.7,3724.7478
1630,1482.75,1566.5,1807.2352
2490,2489.25,2526.25,2545.092
2010,1905.0,2051.35,1887.565
3920,7467.375,5018.65,4287.6016
8220,8217.5,7840.35,7809.496
10940,10655.75,10545.85,10410.683
1660,1659.5,1702.7,1762.9823
2690,2857.75,2608.45,2782.1199
2610,3153.0,2913.45,3197.9526
5510,4602.875,5094.2,4362.6113
2910,3832.625,3252.15,2933.1406
1680,1426.25,1598.95,1690.2566
2890,2976.75,3142.35,3439.4304
2250,1595.75,2167.9,1810.5636
5140,6937.5,6027.8,5476.9233
3840,4489.5,3760.85,3286.6587
2710,2924.1875,2787.6,3021.8013
2300,2779.875,2061.8,1898.2172
2460,2667.5,2691.75,2928.871
4010,4018.0,4123.75,3897.8154
4000,3830.5,3887.0,3676.066
1550,2058.75,1720.4,1765.201
3350,2901.75,3288.75,3204.4258
2730,2556.25,2624.15,2944.4607
2810,2910.25,2856.5,3100.9597
4860,5026.25,4785.95,4665.3457
4250,4248.75,4018.25,3201.3186
1530,-182.75,1654.15,1692.5288
2380,1842.0,2176.75,1962.5653
1770,2159.75,1686.35,2131.1667
1180,879.75,1220.65,1705.9562
1250,1812.25,1353.3,1756.9956
1620,1938.0,1574.0,2085.8247
1320,2106.5,1405.15,1391.8079
3170,3168.75,3174.25,3339.7092
2370,2371.9375,3811.2,3411.3923
3390,3407.5,3208.8,2968.1943
14810,15068.625,15365.15,15228.526
5270,5382.0,5164.25,4602.4893
5800,5462.0,5563.75,4761.0967
4020,6333.25,3922.7,3145.327
4550,3773.0,4479.5,4716.1963
5050,5367.0,4885.9,4738.448
4490,4231.75,4677.85,5121.63
6040,5453.75,5177.4,4987.3325
2560,1319.0,2490.2,2404.513
3780,6136.0625,3740.8,3039.0596
2220,1607.75,1992.25,1417.1385
3270,3372.1875,3245.8,3200.9128
5770,5767.25,4317.9,4724.0366
2570,2731.5,2810.85,2790.572
7700,5976.5,7224.8,6849.723
4400,4400.5,3991.2,3807.9548
1620,1618.75,1637.55,1962.5653
3340,3396.25,3385.6,3140.9807
4210,5322.25,4633.55,4375.635
3480,3481.0625,3637.95,3615.289
6720,7128.25,6673.0,6781.4316
3980,4557.75,4125.1,4069.4187
2890,2729.25,2896.4,2775.4912
6740,6433.75,6645.4,6584.752
7340,8124.25,8132.2,7653.5693
1620,1618.75,1607.15,1466.867
3660,3662.25,3762.1,3149.082
2180,2180.25,2585.5,2579.4749
6020,6019.5,4787.5,4970.1885
5510,5201.0,6413.85,6306.107
5460,5462.25,5217.5,5328.186
1620,1179.75,1947.15,1994.4935
8960,9761.75,8585.6,8701.294
8510,8674.75,8572.05,8838.785
8630,8626.25,8818.95,9061.188
8960,9707.25,9312.6,9311.557
6020,5069.0,5434.4,4661.142
7300,2988.1875,6899.3,6800.364
10690,11147.75,10658.25,11562.08
4780,6546.75,5466.15,4933.4624
2430,2428.0,2564.05,3053.2317
4400,3851.25,3933.95,3560.1475
1730,2245.75,1662.9,1982.0544
8910,9943.75,9614.75,9720.096
8600,13451.3125,8380.2,8179.5356
4250,4475.25,4093.35,3836.6
8940,8444.25,8530.9,7956.2686
2270,2849.1875,2246.9,2098.5168
7970,5804.0,8225.5,8209.2705
4300,3959.25,4220.9,3812.828
10470,10578.5,10591.1,11198.244
3010,1150.875,3599.15,3984.3708
10250,11133.75,10732.05,11830.829
2340,2378.75,2246.75,1916.3164
1620,1363.5,1668.95,1900.2106
3180,3183.75,2948.25,2766.0767
1770,2097.0,2530.95,2264.6694
4230,4228.4375,4419.75,4342.5693
2810,2991.25,2878.4,2596.3179
1820,1739.0,2302.45,2274.0896
3210,3956.75,3475.1,3196.1006
4220,4267.9375,4167.0,3923.2305
2000,1999.25,2023.55,1969.2072
3870,4208.0,3620.4,3243.3179
1300,1105.75,1123.25,1277.3131
1530,2289.75,1574.65,1754.2566
4040,3546.75,3510.8,3190.1584
